problem,method,runs,final_mean,final_std,min_mean,min_std,spikes_mean,spikes_std,a_final_mean,a_final_std,trigger_step_mean,trigger_step_std,trigger_rate,current_spike_count_mean,current_spike_count_std,previous_spike_count_mean,previous_spike_count_std,spike_count_delta_mean,spike_count_delta_std
high_frequency,AdamW,20,0.2477064087986946,0.01622125365974397,0.20572219267487526,0.005129790138552614,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
chirp_quadratic,Standard Muon,20,0.5031177327036858,0.023468379378656142,0.4323784276843071,0.008786917254088523,0.0,0.0,1.5,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan
chirp_quadratic,Jordan Muon,20,0.42849160730838776,0.06509115118991905,0.37629239559173583,0.05138456214584345,0.0,0.0,3.4449999999999994,4.440892098500626e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
chirp_quadratic,FastNS Muon,20,0.45347215980291367,0.057392890382270766,0.39533050209283827,0.052897567600206266,0.0,0.0,3.867000000000001,8.881784197001252e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
chirp_quadratic,Adaptive Dense Muon,20,0.45347215980291367,0.057392890382270766,0.39533050209283827,0.052897567600206266,0.0,0.0,3.870000000000001,8.881784197001252e-16,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chirp_quadratic,Adam,20,0.5036322176456451,0.023511249181531194,0.43311135172843934,0.008513154867317293,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
chirp_quadratic,AdamW,20,0.5036264836788178,0.02350706519247489,0.4331053212285042,0.008511934912309942,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
gaussian_bumps,Standard Muon,20,0.03339616898447275,0.006539668213504503,0.026989113166928293,0.004986476545141061,0.0,0.0,1.5,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan
gaussian_bumps,Jordan Muon,20,0.0046595983789302405,0.0010075472629613397,0.0030837680445984007,0.000618288429533898,0.1,0.4358898943540673,3.4449999999999994,4.440892098500626e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
gaussian_bumps,FastNS Muon,20,0.005567949509713799,0.002469794439098683,0.001800349759287201,0.0007377745325695934,39.45,21.70132484434994,3.867000000000001,8.881784197001252e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
gaussian_bumps,Adaptive Dense Muon,20,0.0037829594337381424,0.002206544220092264,0.0018108631746144965,0.0007970420706875415,31.9,22.06105165217651,3.6992500000000006,0.07535789606935697,418.42105263157896,38.60367556739927,0.95,1.9,0.43588989435406744,0.2,0.4000000000000001,1.7,0.714142842854285
