problem,method,slug,epoch,layer_idx,shape,n_records,sv_min_mean,sv_min_std,sv_p10_mean,sv_p10_std,sv_median_mean,sv_median_std,sv_p90_mean,sv_p90_std,sv_max_mean,sv_max_std,top_energy_frac_mean,top_energy_frac_std,effective_rank_mean,effective_rank_std,participation_rank_mean,participation_rank_std,tiny_frac_mean,tiny_frac_std
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,100,3,32x32,3,9.400711616554721e-09,4.8263138161056015e-09,7.664343731524544e-08,2.131334397249352e-08,6.7649554390906514e-06,1.1948099409346871e-06,0.003726647526491437,0.000137028626487744,0.9935010075569153,0.00365050594700974,0.9870586460177643,0.00725496321076832,1.0712145908329782,0.03503625158964979,1.0263314308537275,0.014875460541811849,0.84375,0.0
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,100,4,1x32,3,0.9999994436899821,2.1945160661513134e-07,0.9999994436899821,2.1945160661513134e-07,0.9999994436899821,2.1945160661513134e-07,0.9999994436899821,2.1945160661513134e-07,0.9999994436899821,2.1945160661513134e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,250,0,32x1,3,0.999997059504191,1.905070706267058e-06,0.999997059504191,1.905070706267058e-06,0.999997059504191,1.905070706267058e-06,0.999997059504191,1.905070706267058e-06,0.999997059504191,1.905070706267058e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,250,1,32x32,3,3.0720406959024635e-09,2.8680758695959594e-09,1.602088920786097e-08,5.927587199226997e-09,5.91571982511141e-07,3.596949047095782e-07,0.006175958452513453,0.0049569501934494985,0.9151779214541117,0.07432408154265358,0.8430760502037344,0.13361210757638478,1.4820411301742797,0.3372533769331525,1.368706691298714,0.32556404380093545,0.8645833333333334,0.01473139127471974
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,250,2,32x32,3,1.1793399516217088e-08,6.551517110994353e-09,8.801538259698798e-08,2.340851103887876e-08,4.486002315691924e-06,1.6906925263452125e-06,0.014312402345240139,0.005896459484755062,0.922084112962087,0.0577340834635688,0.8535745344695568,0.10703624584790006,1.4969299753466672,0.3278198702222738,1.3493455131638807,0.26150945564206063,0.8333333333333334,0.01473139127471974
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,250,3,32x32,3,3.1390313311637405e-09,1.659381097737642e-09,4.25845948133959e-08,7.416395973687163e-09,2.463907208039018e-06,6.295884140645888e-07,0.01733927883518242,0.007939805681476408,0.9710046648979187,0.02272218697748985,0.9433684570615707,0.04382173783086832,1.2442719975960472,0.15692711682580787,1.123672531529545,0.09992598293319097,0.8229166666666666,0.01473139127471974
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,250,4,1x32,3,0.9999987681706747,8.600894936686103e-07,0.9999987681706747,8.600894936686103e-07,0.9999987681706747,8.600894936686103e-07,0.9999987681706747,8.600894936686103e-07,0.9999987681706747,8.600894936686103e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,499,0,32x1,3,0.9999945958455404,3.051048890199227e-06,0.9999945958455404,3.051048890199227e-06,0.9999945958455404,3.051048890199227e-06,0.9999945958455404,3.051048890199227e-06,0.9999945958455404,3.051048890199227e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,499,1,32x32,3,1.7945609442904242e-09,1.3583186133864515e-09,1.1576470804186556e-08,3.6194447282314215e-09,3.667667651067556e-07,1.2566729340598754e-07,0.007984665406790267,0.00513025703157208,0.9079542756080627,0.05324946851977299,0.8272182309328281,0.09811725262627738,1.560562121149261,0.27447833275761024,1.410453969921501,0.2421614992397747,0.8541666666666666,0.01473139127471974
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,499,2,32x32,3,1.6016300582085325e-08,3.3866823841196345e-09,9.857718244650946e-08,3.2248676970276674e-08,7.008434977251454e-06,3.1658611062998605e-06,0.02884891874467337,0.010110609060154064,0.9231839179992676,0.050306616772263106,0.854802207941933,0.09338643220687458,1.5169538031642886,0.28637391611453544,1.3442429975292545,0.230674365175948,0.8125,0.0
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,499,3,32x32,3,3.1410721801350405e-09,1.5912204283331308e-09,3.217891511771616e-08,3.807199796269085e-09,3.7419115415104898e-06,1.21236997501825e-06,0.02452891459688548,0.007789470346886636,0.981955369313558,0.006895033055413051,0.9642861795102956,0.01351684989988503,1.1827243146067872,0.051237715467834725,1.074646800522153,0.029205895286373924,0.8125,0.02551551815399144
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,499,4,1x32,3,0.9999987284342448,9.749606566735345e-07,0.9999987284342448,9.749606566735345e-07,0.9999987284342448,9.749606566735345e-07,0.9999987284342448,9.749606566735345e-07,0.9999987284342448,9.749606566735345e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,0,0,32x1,3,0.9999910593032837,7.364651756624635e-07,0.9999910593032837,7.364651756624635e-07,0.9999910593032837,7.364651756624635e-07,0.9999910593032837,7.364651756624635e-07,0.9999910593032837,7.364651756624635e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,0,1,32x32,3,3.3558595717112877e-10,2.415853551440442e-10,1.4111491660380913e-09,4.418597136984119e-10,2.0791595112257255e-08,1.9207578178522554e-09,0.0001517753978191653,0.00012148379555730175,0.9991666277249655,0.0007278167213984975,0.9983364902952766,0.001453728932540688,1.0118162871708414,0.009228034984714,1.003336781843643,0.0029199465280530306,0.9375,0.0
multiscale_mix,FastNS Muon,fastns_muon,0,2,32x32,3,1.4139999125288108e-10,5.731821597191747e-11,1.1611382670177289e-09,1.2043453641141748e-10,1.894964333596742e-08,2.5216727523336e-09,9.306860405947289e-05,9.096698196704134e-05,0.9997508923212687,0.0002059905325811309,0.9995040226338104,0.0004110716175360542,1.004090154215946,0.0031760394711200938,1.0009927848434905,0.0008230635179133179,0.9375,0.0
multiscale_mix,FastNS Muon,fastns_muon,0,3,32x32,3,5.946825641876356e-11,6.646940607957742e-11,1.515643869668774e-09,5.997343215512307e-10,2.5522055283981142e-08,1.8473312307399205e-09,3.3196686925644376e-05,3.087567067615275e-05,0.9998059471448263,0.00022338022860904906,0.9996139273961268,0.0004463189161268333,1.0031551235160991,0.003489079943350284,1.0007728417347856,0.0008935865151227375,0.9479166666666666,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,0,4,1x32,3,0.9999991257985433,4.1390789858499486e-07,0.9999991257985433,4.1390789858499486e-07,0.9999991257985433,4.1390789858499486e-07,0.9999991257985433,4.1390789858499486e-07,0.9999991257985433,4.1390789858499486e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,25,0,32x1,3,0.9999568065007528,2.3832385512678084e-05,0.9999568065007528,2.3832385512678084e-05,0.9999568065007528,2.3832385512678084e-05,0.9999568065007528,2.3832385512678084e-05,0.9999568065007528,2.3832385512678084e-05,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,25,1,32x32,3,1.9012597792430106e-09,6.221862880196441e-10,1.065436167439297e-08,3.1998426748919557e-09,3.8070856807811043e-07,3.460155639259304e-08,0.0030256325902883,0.0007349061974922583,0.9977057973543803,0.0006665108226270105,0.9954208634930412,0.001329730713549104,1.030380320261714,0.0077563906849951215,1.0092057154171863,0.002682218111554014,0.8541666666666666,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,25,2,32x32,3,1.073857299379218e-09,7.080176414308874e-10,1.9672541432906124e-08,9.334473800847625e-09,1.2368121341902831e-06,3.6355244062757503e-07,0.005195179482689136,0.0027819234833016296,0.9987032810846964,0.0005331095237428913,0.9974134525810231,0.0010629482273773088,1.0190891955561374,0.0071805545734729866,1.005190757839133,0.0021401669109585306,0.84375,0.02551551815399144
multiscale_mix,FastNS Muon,fastns_muon,25,3,32x32,3,1.12697673415596e-09,2.42838668100686e-10,1.2246471866224814e-08,2.5899136115923437e-09,6.755518455747733e-07,3.0304028697410443e-07,0.002391003321584628,0.0011197116014581732,0.9996373256047567,0.0001440928887809342,0.9992790652143723,0.0002865481996984844,1.0061370115016226,0.0022130435099843777,1.0014431670170254,0.0005738782379205947,0.875,0.02551551815399144
multiscale_mix,FastNS Muon,fastns_muon,25,4,1x32,3,0.9999982317288717,6.819169641228721e-07,0.9999982317288717,6.819169641228721e-07,0.9999982317288717,6.819169641228721e-07,0.9999982317288717,6.819169641228721e-07,0.9999982317288717,6.819169641228721e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,100,0,32x1,3,0.9999958276748657,1.228299261416891e-06,0.9999958276748657,1.228299261416891e-06,0.9999958276748657,1.228299261416891e-06,0.9999958276748657,1.228299261416891e-06,0.9999958276748657,1.228299261416891e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,100,1,32x32,3,7.166700242515015e-10,3.9335367276821824e-10,2.549129763570098e-08,8.527023109543914e-09,1.9044078006421235e-06,6.910477365665148e-07,0.004051819649369773,0.0021357435685044027,0.9561916987101237,0.026556341351709357,0.915009096279675,0.051272598292000954,1.3268319703409654,0.18028809559895473,1.1892044425098944,0.11596868829806493,0.8645833333333334,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,100,2,32x32,3,1.0441646214331968e-08,3.313769064022536e-09,1.762831492631752e-07,3.3775737961198314e-08,9.866911265514014e-06,5.187138460450098e-07,0.007200965999315192,0.005040687082371192,0.961973249912262,0.03240019273123196,0.9264439959464955,0.061594945868695385,1.286181206249337,0.1908179019645232,1.164396806747229,0.14495230114683894,0.8125,0.0
multiscale_mix,FastNS Muon,fastns_muon,100,3,32x32,3,4.322456244783742e-09,2.0596117586866556e-09,7.705134663638091e-08,1.0448772020203233e-08,8.196241954768388e-06,1.846285239769786e-06,0.004891123533404128,0.0015108223840082302,0.9921901623407999,0.005403147348753139,0.9844718785963336,0.010732943992742773,1.0809203298556385,0.05229241059538461,1.0317800223156957,0.022051369510485218,0.8229166666666666,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,100,4,1x32,3,0.9999996225039164,1.842502454021713e-07,0.9999996225039164,1.842502454021713e-07,0.9999996225039164,1.842502454021713e-07,0.9999996225039164,1.842502454021713e-07,0.9999996225039164,1.842502454021713e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,250,0,32x1,3,0.999997615814209,1.9466795466607238e-07,0.999997615814209,1.9466795466607238e-07,0.999997615814209,1.9466795466607238e-07,0.999997615814209,1.9466795466607238e-07,0.999997615814209,1.9466795466607238e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,250,1,32x32,3,1.1571429046434527e-09,1.2480342903547235e-09,1.2065866942615837e-08,1.0684295181614279e-09,3.8472421456011335e-07,1.608408101746999e-07,0.004823525151490089,0.0025842524255583524,0.911605974038442,0.058262399078665095,0.8344211799953661,0.10466256747035566,1.536859277351451,0.25496072855753565,1.3878462628278223,0.26169971646764545,0.8645833333333334,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,250,2,32x32,3,7.912139388110973e-09,3.732260214661689e-09,5.155249063193424e-08,8.462375350192251e-09,3.3872140079438395e-06,1.2362110563243115e-06,0.020592389764109046,0.008741021041173589,0.9522862235705057,0.019305769879684458,0.9072234026134072,0.03652585325937664,1.3784836784119736,0.10880130246185483,1.2055101807499007,0.0875252454141411,0.84375,0.0
multiscale_mix,FastNS Muon,fastns_muon,250,3,32x32,3,3.5515692238992833e-09,3.375798585722437e-09,3.3628938034269136e-08,8.822752619728861e-09,2.807099709419466e-06,1.030772709582972e-06,0.012611993957155718,0.003760094120022875,0.990324596563975,0.009734682867024055,0.9808388757271311,0.019215589489155745,1.0970218561260985,0.08307524227078653,1.0398416624101703,0.040459497454573196,0.8229166666666666,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,250,4,1x32,3,0.9999996026357015,1.5644248076303424e-07,0.9999996026357015,1.5644248076303424e-07,0.9999996026357015,1.5644248076303424e-07,0.9999996026357015,1.5644248076303424e-07,0.9999996026357015,1.5644248076303424e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,499,0,32x1,3,0.9999932646751404,3.8970074081247534e-06,0.9999932646751404,3.8970074081247534e-06,0.9999932646751404,3.8970074081247534e-06,0.9999932646751404,3.8970074081247534e-06,0.9999932646751404,3.8970074081247534e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,FastNS Muon,fastns_muon,499,1,32x32,3,4.689132785766029e-10,2.704040802369773e-10,1.5808269537842534e-08,4.851455626109395e-09,5.564815950265256e-07,1.1411184309736994e-07,0.00863446790608579,0.0030228090783987003,0.9170880516370138,0.012782598129628803,0.8412159432628948,0.023540401933348377,1.5815099929517065,0.09047602816234501,1.3687044693040333,0.0624805783338067,0.8541666666666666,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,499,2,32x32,3,4.60687928545885e-09,2.0969411291771367e-09,1.2229917748148485e-07,1.3825968694475721e-08,7.592163228764548e-06,9.141580083729842e-07,0.04321485240943737,0.008226909227009029,0.8827073176701864,0.04644019056153016,0.7813314487655069,0.08048776946946032,1.7521082733283826,0.1999599562980335,1.5282627326657627,0.214669723187982,0.8020833333333334,0.01473139127471974
multiscale_mix,FastNS Muon,fastns_muon,499,3,32x32,3,3.525277033252413e-09,3.868436930259933e-09,4.6690372575615886e-08,2.2893813801474153e-09,6.359361767257117e-06,2.4825856132937675e-06,0.023835003282874856,0.0018312609795594235,0.9821107784907023,0.007539048778874133,0.9646001771853404,0.014826596537147487,1.1771250722340443,0.05866128865430873,1.0739598191646953,0.03165331219128819,0.7708333333333334,0.02946278254943948
multiscale_mix,FastNS Muon,fastns_muon,499,4,1x32,3,0.9999995032946268,2.8097899007262688e-08,0.9999995032946268,2.8097899007262688e-08,0.9999995032946268,2.8097899007262688e-08,0.9999995032946268,2.8097899007262688e-08,0.9999995032946268,2.8097899007262688e-08,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Jordan Muon,jordan_muon,0,0,32x1,3,0.9999894102414449,2.214392550717536e-06,0.9999894102414449,2.214392550717536e-06,0.9999894102414449,2.214392550717536e-06,0.9999894102414449,2.214392550717536e-06,0.9999894102414449,2.214392550717536e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Jordan Muon,jordan_muon,0,1,32x32,3,9.918870932934531e-11,5.0169394422881165e-11,1.837045493502387e-09,5.545580703237302e-10,2.512965480150342e-08,1.6365239531025823e-09,5.0612661731482573e-05,2.6722391375414593e-05,0.9976829687754313,0.002998159911487595,0.9953828253157502,0.005975135849737397,1.0263869325954624,0.03242861747325505,1.0093484260248549,0.012110839690881283,0.90625,0.0
multiscale_mix,Jordan Muon,jordan_muon,0,2,32x32,3,1.2363125800884944e-10,2.6392035499697385e-11,1.110970828295995e-09,2.0383301760501625e-10,2.140575213379255e-08,2.1153207986992787e-09,1.747393664430778e-05,9.355146859242392e-06,0.9998496572176615,0.00017440210643592693,0.9997016656973309,0.0003477351499055899,1.0025274286009742,0.0027887277079502656,1.0005970888404851,0.0006960486898009444,0.9166666666666666,0.01473139127471974
multiscale_mix,Jordan Muon,jordan_muon,0,3,32x32,3,2.818474851655021e-11,3.00353875602696e-11,8.236158940041114e-10,3.9662504981121927e-10,2.293324700512282e-08,3.0850676596959986e-09,5.236546460925726e-06,2.882986745912192e-06,0.9999249577522278,9.46086635193925e-05,0.9998522637371208,0.00018806613489608866,1.001332972811302,0.0016356928574839445,1.0002955869584245,0.0003762928659993489,0.9270833333333334,0.01473139127471974
multiscale_mix,Jordan Muon,jordan_muon,0,4,1x32,3,0.9999990463256836,5.920594702462888e-07,0.9999990463256836,5.920594702462888e-07,0.9999990463256836,5.920594702462888e-07,0.9999990463256836,5.920594702462888e-07,0.9999990463256836,5.920594702462888e-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Jordan Muon,jordan_muon,25,0,32x1,3,0.9999699791272482,9.204281605677074e-06,0.9999699791272482,9.204281605677074e-06,0.9999699791272482,9.204281605677074e-06,0.9999699791272482,9.204281605677074e-06,0.9999699791272482,9.204281605677074e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Jordan Muon,jordan_muon,25,1,32x32,3,1.215008436454094e-09,1.562480119721794e-09,8.909077934641612e-09,4.432696897869925e-09,3.7293418605107337e-07,2.4373021299636253e-07,0.01314211146479165,0.012888573874001026,0.9800177017847697,0.024320408658778356,0.9610327888706399,0.047250160047826,1.1739122050358481,0.19554628983400393,1.0861178183825408,0.10596065398565836,0.8541666666666666,0.01473139127471974
multiscale_mix,Jordan Muon,jordan_muon,25,2,32x32,3,2.0145289394979393e-09,2.4217233488683636e-09,1.4720441754434432e-08,1.2503734474732028e-08,1.1566369977344948e-06,1.0706635319127872e-06,0.018420523529251453,0.01913797617309177,0.9852881828943888,0.019286316960048046,0.9711744466386291,0.037736348876664105,1.139423548195953,0.17422078436304514,1.0629367102423652,0.08293313956169437,0.8229166666666666,0.02946278254943948
multiscale_mix,Jordan Muon,jordan_muon,25,3,32x32,3,2.4772294123417047e-09,3.2111858631744294e-09,1.7180228513898518e-08,1.6178246786545858e-08,9.613025682142506e-07,9.89048574488487e-07,0.018961839826079126,0.021538530059845785,0.984771728515625,0.02075692866191133,0.9702199596765052,0.04056551468154361,1.1518436538172498,0.2021590935064862,1.0662738113038768,0.09062110807548511,0.84375,0.02551551815399144
multiscale_mix,Jordan Muon,jordan_muon,25,4,1x32,3,0.9999938805898031,5.754721359885378e-06,0.9999938805898031,5.754721359885378e-06,0.9999938805898031,5.754721359885378e-06,0.9999938805898031,5.754721359885378e-06,0.9999938805898031,5.754721359885378e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Jordan Muon,jordan_muon,100,0,32x1,3,0.9999932845433553,4.0253611444247795e-06,0.9999932845433553,4.0253611444247795e-06,0.9999932845433553,4.0253611444247795e-06,0.9999932845433553,4.0253611444247795e-06,0.9999932845433553,4.0253611444247795e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
multiscale_mix,Jordan Muon,jordan_muon,100,1,32x32,3,7.238875054937921e-10,4.66648848547362e-10,1.8366750372441252e-08,9.169957740880416e-09,1.7229726836376358e-06,1.4164554566997594e-07,0.005663790895293165,0.0038691593978876556,0.9181236823399862,0.07362297178212243,0.8483735420936837,0.13297190880046392,1.5020738154335682,0.37599008802191514,1.3646811092411228,0.33281960793451737,0.8541666666666666,0.01473139127471974
