problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,n_sv,sv_min,sv_p10,sv_median,sv_p90,sv_max,top_energy_frac,effective_rank,participation_rank,tiny_frac
cusp_abs,Jordan Muon,jordan_muon,1,60988,25,2,32x32,3.445,3.445,-4.775,2.032,32,2.2276895605966018e-10,1.2619825273674223e-08,1.087730169047063e-06,0.014408946409821542,0.9637246131896973,0.9287678953465281,1.3389720672363172,1.1545142240841464,0.8125
cusp_abs,Jordan Muon,jordan_muon,1,60988,25,3,32x32,3.445,3.445,-4.775,2.032,32,2.8147081887475167e-10,9.253385879759435e-09,6.565922916479394e-07,0.007667717442382144,0.9859678149223328,0.9721345604943954,1.150704062276501,1.0575283513998006,0.875
cusp_abs,Jordan Muon,jordan_muon,1,60988,25,4,1x32,3.445,3.445,-4.775,2.032,1,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,1,60988,100,0,32x1,3.445,3.445,-4.775,2.032,1,0.999991238117218,0.999991238117218,0.999991238117218,0.999991238117218,0.999991238117218,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,1,60988,100,1,32x32,3.445,3.445,-4.775,2.032,32,2.564999254661693e-11,8.09097713272422e-09,2.1624145318810406e-07,0.0005096907661936721,0.989245593547821,0.9786082693027164,1.1089772431174991,1.043697940901124,0.90625
cusp_abs,Jordan Muon,jordan_muon,1,60988,100,2,32x32,3.445,3.445,-4.775,2.032,32,3.35742789125959e-09,1.9293270447917623e-08,1.8404722936793405e-06,0.000519530728342943,0.9935235977172852,0.9870910863288862,1.0715997099085293,1.0261516345214265,0.90625
cusp_abs,Jordan Muon,jordan_muon,1,60988,100,3,32x32,3.445,3.445,-4.775,2.032,32,1.2675843708009893e-09,2.014557356488922e-08,1.0786827715492109e-06,0.0007504154738853699,0.9942474961280823,0.9885296860839432,1.0651600772366343,1.023205553885847,0.90625
cusp_abs,Jordan Muon,jordan_muon,1,60988,100,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.9999988079071045,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,1,60988,250,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999834895133972,0.9999834895133972,0.9999834895133972,0.9999834895133972,0.9999834895133972,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,1,60988,250,1,32x32,3.445,3.445,-4.775,2.032,32,1.290828333111449e-09,7.063747542446208e-09,7.516080557934401e-08,0.001476600315072577,0.9877545237541199,0.9756614001858754,1.1219541512156106,1.0498651899756608,0.875
cusp_abs,Jordan Muon,jordan_muon,1,60988,250,2,32x32,3.445,3.445,-4.775,2.032,32,1.1332525889917733e-10,1.0764085356385068e-08,4.854392159359122e-07,0.0032085863465908986,0.9878630638122559,0.9758772285131876,1.1218576757221936,1.0494196111890013,0.875
cusp_abs,Jordan Muon,jordan_muon,1,60988,250,3,32x32,3.445,3.445,-4.775,2.032,32,2.3703050633372413e-09,1.11737526786726e-08,3.787519062825595e-07,0.003540678066201516,0.9872049689292908,0.9745782138563212,1.1272653244004653,1.052146932893874,0.875
cusp_abs,Jordan Muon,jordan_muon,1,60988,250,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999971985816956,0.9999971985816956,0.9999971985816956,0.9999971985816956,0.9999971985816956,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,1,60988,499,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999912977218628,0.9999912977218628,0.9999912977218628,0.9999912977218628,0.9999912977218628,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,1,60988,499,1,32x32,3.445,3.445,-4.775,2.032,32,8.655636207777206e-10,8.269933182702971e-09,1.6570039917951362e-07,0.005453582841437321,0.8855595588684082,0.7842187843461811,1.688315485560156,1.5118475319318745,0.875
cusp_abs,Jordan Muon,jordan_muon,1,60988,499,2,32x32,3.445,3.445,-4.775,2.032,32,5.268742109265645e-10,1.411977033072276e-08,1.4084116628509946e-06,0.013288607564754808,0.9592952728271484,0.9202521210406381,1.328634938891348,1.1722453931671706,0.84375
cusp_abs,Jordan Muon,jordan_muon,1,60988,499,3,32x32,3.445,3.445,-4.775,2.032,32,6.55154874795727e-10,1.2850395059160748e-08,8.282050316665845e-07,0.004032988566905263,0.9891814589500427,0.9784824796792897,1.1114336344180276,1.0439748409252074,0.84375
cusp_abs,Jordan Muon,jordan_muon,1,60988,499,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,0,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999744296073914,0.9999744296073914,0.9999744296073914,0.9999744296073914,0.9999744296073914,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,0,1,32x32,3.445,3.445,-4.775,2.032,32,1.1354504836358359e-10,1.0615853529571951e-09,2.181873881568208e-08,6.732992578690768e-05,0.9801753163337708,0.9607491374537399,1.1972460037679151,1.0819557873849912,0.90625
cusp_abs,Jordan Muon,jordan_muon,2,60989,0,2,32x32,3.445,3.445,-4.775,2.032,32,2.458545589334449e-10,2.2392933951564943e-09,2.4669393638987458e-08,4.179535017101452e-05,0.9933968186378479,0.9868432091033117,1.0758219408418526,1.0266806804204338,0.90625
cusp_abs,Jordan Muon,jordan_muon,2,60989,0,3,32x32,3.445,3.445,-4.775,2.032,32,6.638154002175378e-12,1.3226988837544696e-09,3.0107350390551346e-08,1.3003606801476082e-05,0.9980677366256714,0.9961453933374845,1.026393916807294,1.0077403941669885,0.90625
cusp_abs,Jordan Muon,jordan_muon,2,60989,0,4,1x32,3.445,3.445,-4.775,2.032,1,0.999996542930603,0.999996542930603,0.999996542930603,0.999996542930603,0.999996542930603,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,25,0,32x1,3.445,3.445,-4.775,2.032,1,0.999997079372406,0.999997079372406,0.999997079372406,0.999997079372406,0.999997079372406,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,25,1,32x32,3.445,3.445,-4.775,2.032,32,1.2000801741240963e-10,7.989311257006194e-09,1.339908628494868e-07,0.001837013330077756,0.8408275842666626,0.7069925830382314,1.8975771389534182,1.7203337684764055,0.875
cusp_abs,Jordan Muon,jordan_muon,2,60989,25,2,32x32,3.445,3.445,-4.775,2.032,32,2.392117393057447e-09,1.1481087014431069e-08,1.1453630577307194e-06,0.008667725976556555,0.836465060710907,0.6996759411296077,1.9708897734169706,1.7548936256817977,0.84375
cusp_abs,Jordan Muon,jordan_muon,2,60989,25,3,32x32,3.445,3.445,-4.775,2.032,32,3.896740152775635e-10,3.8929286461097945e-09,5.800752944651322e-07,0.005305384990060713,0.9697966575622559,0.9405076456230164,1.268563569902858,1.1264481725210396,0.875
cusp_abs,Jordan Muon,jordan_muon,2,60989,25,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999991655349731,0.9999991655349731,0.9999991655349731,0.9999991655349731,0.9999991655349731,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,100,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999934434890747,0.9999934434890747,0.9999934434890747,0.9999934434890747,0.9999934434890747,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,100,1,32x32,3.445,3.445,-4.775,2.032,32,7.725138861935932e-10,9.931305733346108e-09,3.721051058391822e-07,0.0011682793992804387,0.8802439570426941,0.7748315373823172,1.7056081022169207,1.5360077061179573,0.875
