problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,sv_index,singular_value
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,28,9.001985268319856e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,29,6.632171478671012e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,30,3.9147801667027693e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,31,3.777208407163002e-11
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,0,0.9999961256980896
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,1,0.0024650278501212597
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,2,0.00033797905780375004
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,3,9.209315976477228e-06
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,4,1.2245136815636215e-07
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,5,8.117763172776904e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,6,7.885133612717254e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,7,6.274380126569667e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,8,6.102947480712828e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,9,5.211258269355312e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,10,4.542016185382636e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,11,4.023200617098155e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,12,3.703649298358869e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,13,3.374230672648082e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,14,3.276087667813954e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,15,2.5821295324135463e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,16,2.3192715303821387e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,17,2.232871487706234e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,18,1.890987277874956e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,19,1.6194276142300623e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,20,1.4058578301501257e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,21,1.3398498310834839e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,22,1.0999539945544257e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,23,8.829255548903348e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,24,5.71600899945679e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,25,5.028777838589349e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,26,3.864535358388821e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,27,2.123709430534859e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,28,1.978822661286017e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,29,8.069121482101593e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,30,3.6452110774298774e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,3,32x32,3.445,3.445,-4.775,2.032,31,2.1679365247440074e-10
low_frequency,Jordan Muon,jordan_muon,0,987,0,4,1x32,3.445,3.445,-4.775,2.032,0,0.999999463558197
low_frequency,Jordan Muon,jordan_muon,0,987,25,0,32x1,3.445,3.445,-4.775,2.032,0,0.9999969601631165
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,0,0.9546831846237183
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,1,0.29636743664741516
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,2,0.02714395523071289
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,3,0.0026592572685331106
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,4,0.0006240447401069105
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,5,0.0002863267145585269
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,6,6.795827357564121e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,7,3.25048495142255e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,8,1.5339019228122197e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,9,7.826900400687009e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,10,7.2976959017978515e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,11,2.5109904981945874e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,12,1.3149006008461583e-06
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,13,9.261675586458296e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,14,5.312326720741112e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,15,4.013066927655018e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,16,1.652737324775444e-07
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,17,9.648620391544682e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,18,7.909709864861725e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,19,6.767780291738745e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,20,5.647332912417369e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,21,3.0717576038341576e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,22,2.9208946372705213e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,23,2.5691090144164264e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,24,2.2690072043474174e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,25,1.711319441710657e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,26,1.3414052091320627e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,27,1.0037512154781325e-08
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,28,8.306404453151117e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,29,4.5536361348297305e-09
